contentUrl	license
fig/101-intro/FAIR_data_principles-Reduced.jpg	FAIR guiding principles for data resources CC BY 4.0 by SangyaPundir, https://commons.wikimedia.org/wiki/File:FAIR_data_principles.jpg
fig/101-intro/High_disorder.png	Illustration CC BY 4.0 by NBIS, https://creativecommons.org/licenses/by/4.0/
fig/101-intro/life-cycle.png	Data life cycle by SciLifeLab
fig/101-intro/Low_disorder.png	Illustration CC BY 4.0 by NBIS, https://creativecommons.org/licenses/by/4.0/
fig/101-intro/rdmkit-data-lifecycle.png	RDMkit Data life cycle CC BY 4.0 by ELIXIR-CONVERGE, https://rdmkit.elixir-europe.org/
fig/102-maintaining/2_Multiple_Tables.png	Tidy data for librarians, CC-BY 4.0 by Library Carpentry, https://creativecommons.org/licenses/by/4.0/
fig/102-maintaining/4_conditional-formatting.png	Tidy data for librarians, CC-BY 4.0 by Library Carpentry, https://creativecommons.org/licenses/by/4.0/
fig/102-maintaining/2_Multiple_Tables.png	Tidy data for librarians, CC-BY 4.0 by Library Carpentry, https://creativecommons.org/licenses/by/4.0/
fig/102-maintaining/File_tree.png	Illustration CC BY 4.0 by NBIS, https://creativecommons.org/licenses/by/4.0/
fig/105-tabular-data/2_Multiple_Tables.png	Tidy data for librarians, CC-BY 4.0 by Library Carpentry, https://creativecommons.org/licenses/by/4.0/
fig/105-tabular-data/3_white_table_1.jpg	Table 1 from Nine simple ways to make it easier to (re)use your data, CC-BY 4.0 by Ethan P. White, Elita Baldridge, Zachary T. Brym, Kenneth J. Locey, Daniel J. McGlinn, and Sarah R. Supp, https://doi.org/10.4033/iee.2013.6b.6.f
fig/105-tabular-data/5_excel_dates_1.jpg	Tidy data for librarians, CC-BY 4.0 by Library Carpentry, https://creativecommons.org/licenses/by/4.0/
fig/105-tabular-data/formatting.png	Tidy data for librarians, CC-BY 4.0 by Library Carpentry, https://creativecommons.org/licenses/by/4.0/
fig/105-tabular-data/good_formatting.png	Tidy data for librarians, CC-BY 4.0 by Library Carpentry, https://creativecommons.org/licenses/by/4.0/
fig/105-tabular-data/multiple-info.png	Tidy data for librarians, CC-BY 4.0 by Library Carpentry, https://creativecommons.org/licenses/by/4.0/
fig/105-tabular-data/single-info.png	Tidy data for librarians, CC-BY 4.0 by Library Carpentry, https://creativecommons.org/licenses/by/4.0/
fig/105-tabular-data/spreadsheet-setup-updated.png	Data Organization in Spreadsheets for Ecologists, CC-BY 4.0 by Data Carpentry, https://datacarpentry.org/spreadsheet-ecology-lesson/
data/module-organising-data-dm-practice-apr-2022.pdf	Presentation CC BY 4.0 by NBIS, https://creativecommons.org/licenses/by/4.0/ 
data/Example_project_begin.zip	Artificial data CC BY 4.0 by NBIS, https://creativecommons.org/licenses/by/4.0/ 
data/Example_project_improved.zip	Artificial data CC BY 4.0 by NBIS, https://creativecommons.org/licenses/by/4.0/ 
data/tree.txt	Artificial data CC BY 4.0 by NBIS, https://creativecommons.org/licenses/by/4.0/ 
data/training_attendance.xlsx	Tidy data for librarians, CC-BY 4.0 by Library Carpentry, https://creativecommons.org/licenses/by/4.0/
